Weather,Color Palette,Pattern,Feeling,Clothing Fit,Dress Name,Description
Snowy,Bright,Stripes,Sophisticated,Standard,T-Shirt,"A simple, straight dress that hangs loosely from the shoulders."
Pleasant,Pastel,Geometric,Unique,Tight,Sheath,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
Windy,Earth,Geometric,Casual,Tight,Bodycon,"A dress with long sleeves, often featuring pastel floral patterns."
Snowy,Pastel,Stripes,Casual,Oversized,Knit Sweater,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
Windy,Pastel,Solid colors,Sophisticated,Loose,Boho Midi,"A dress worn over a top, often featuring bright stripes and a loose fit."
Windy,Neutral,Floral,Unique,Standard,T-Shirt,"A fitted dress that emphasizes the figure, often knee-length."
Windy,Pastel,Stripes,Trendy,Loose,Tunic,"A form-fitting dress that hugs the body, often featuring horizontal stripes."
Windy,Bright,Floral,Unique,Standard,Wrap,"A lightweight, sleeveless dress ideal for summer, usually knee-length."
Pleasant,Bright,Floral,Sophisticated,Standard,Long Sleeve,"A casual dress made of T-shirt material, often in solid earthy tones."
Snowy,Earth,Solid colors,Sophisticated,Tight,Turtleneck,"A snug dress with a high neckline, often featuring geometric designs."
Snowy,Bright,Stripes,Trendy,Standard,Wrap,"A warm dress made of sweater material, often featuring floral patterns."
Pleasant,Bright,Floral,Unique,Standard,A-Line,"A loose, flowy dress often worn as a cover-up, featuring various stripe patterns."
Snowy,Neutral,Geometric,Trendy,Tight,Turtleneck,"A form-fitting dress that hugs the body, often featuring horizontal stripes."
Pleasant,Pastel,Stripes,Unique,Standard,Peplum,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Sunny,Earth,Solid colors,Trendy,Tight,Pencil,"A classic dress with a fitted bodice and flared skirt, often knee-length."
Windy,Pastel,Solid colors,Unique,Standard,Pinafore,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Windy,Bright,Geometric,Trendy,Standard,Shirt,"A close-fitting dress that falls just below the knees, often with stripes."
Snowy,Bright,Solid colors,Trendy,Tight,Bodycon,"A simple, straight dress that hangs loosely from the shoulders."
Windy,Bright,Geometric,Trendy,Oversized,Knit Sweater,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Windy,Pastel,Stripes,Casual,Standard,Shirt,"A warm, cozy dress made of knit fabric, often with geometric patterns."
Pleasant,Pastel,Floral,Sophisticated,Standard,Sundress,"A casual dress made of T-shirt material, often in solid earthy tones."
Snowy,Earth,Solid colors,Casual,Tight,Turtleneck,"A comfortable, long top that can be worn as a dress, often with geometric patterns."
Pleasant,Neutral,Geometric,Unique,Standard,Pinafore,"A relaxed, button-down dress with a loose fit, often with vertical stripes."
Pleasant,Earth,Stripes,Casual,Oversized,Sweater,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Snowy,Bright,Stripes,Unique,Standard,Peplum,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Windy,Bright,Floral,Sophisticated,Loose,Shift,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Snowy,Neutral,Stripes,Unique,Tight,Turtleneck,"A loose, flowy dress often worn as a cover-up, featuring various stripe patterns."
Sunny,Bright,Stripes,Trendy,Standard,Sundress,"A casual dress made of T-shirt material, often in solid earthy tones."
Sunny,Earth,Solid colors,Casual,Loose,Kaftan,"A relaxed, button-down dress with a loose fit, often with vertical stripes."
Windy,Earth,Solid colors,Unique,Standard,Peplum,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Windy,Pastel,Geometric,Sophisticated,Standard,Shirt,"A close-fitting dress that falls just below the knees, often with stripes."
Sunny,Neutral,Solid colors,Casual,Standard,Wrap,"A close-fitting dress that falls just below the knees, often with stripes."
Pleasant,Bright,Floral,Unique,Standard,Peplum,"A casual dress made of T-shirt material, often in solid earthy tones."
Windy,Earth,Floral,Trendy,Loose,Tunic,"A form-fitting dress that hugs the body, often featuring horizontal stripes."
Sunny,Bright,Geometric,Casual,Loose,Boho Midi,"A mid-length dress with a relaxed fit, featuring bohemian-style floral patterns."
Snowy,Pastel,Geometric,Sophisticated,Loose,Maxi,"A fitted dress that emphasizes the figure, often knee-length."
Windy,Neutral,Geometric,Trendy,Loose,Boho Midi,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Snowy,Bright,Floral,Sophisticated,Loose,Kaftan,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
Pleasant,Earth,Stripes,Sophisticated,Standard,Fit and Flare,"A dress with long sleeves, often featuring pastel floral patterns."
Windy,Bright,Geometric,Sophisticated,Tight,Sheath,"A relaxed, button-down dress with a loose fit, often with vertical stripes."
Pleasant,Neutral,Solid colors,Trendy,Tight,Turtleneck,"A mid-length dress with a relaxed fit, featuring bohemian-style floral patterns."
Sunny,Pastel,Solid colors,Sophisticated,Standard,Sundress,"A dress with long sleeves, often featuring pastel floral patterns."
Pleasant,Neutral,Solid colors,Trendy,Loose,Tunic,"A relaxed, button-down dress with a loose fit, often with vertical stripes."
Pleasant,Earth,Solid colors,Trendy,Loose,Tunic,"A casual dress made of T-shirt material, often in solid earthy tones."
Snowy,Bright,Solid colors,Trendy,Standard,A-Line,"A warm dress made of sweater material, often featuring floral patterns."
Pleasant,Pastel,Solid colors,Casual,Oversized,Sweater,"A fitted dress that emphasizes the figure, often knee-length."
Sunny,Earth,Geometric,Sophisticated,Loose,Boho Midi,"A comfortable, long top that can be worn as a dress, often with geometric patterns."
Pleasant,Bright,Floral,Casual,Loose,Shift,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Pleasant,Pastel,Stripes,Unique,Loose,Kaftan,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Pleasant,Bright,Solid colors,Trendy,Tight,Turtleneck,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Pleasant,Bright,Geometric,Unique,Loose,Shift,"A form-fitting dress that hugs the body, often featuring horizontal stripes."
Pleasant,Bright,Floral,Casual,Oversized,Sweater,"A simple, straight dress that hangs loosely from the shoulders."
Windy,Neutral,Geometric,Casual,Standard,Pinafore,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Pleasant,Pastel,Solid colors,Casual,Loose,Kaftan,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
Pleasant,Bright,Stripes,Unique,Standard,Shirt,"A close-fitting dress that falls just below the knees, often with stripes."
Snowy,Earth,Floral,Unique,Standard,Sundress,"A loose, flowy dress often worn as a cover-up, featuring various stripe patterns."
Windy,Neutral,Solid colors,Sophisticated,Loose,Shift,"A snug dress with a high neckline, often featuring geometric designs."
Snowy,Pastel,Stripes,Sophisticated,Standard,Shirt,"A casual dress made of T-shirt material, often in solid earthy tones."
Pleasant,Neutral,Stripes,Sophisticated,Standard,Wrap,"A warm, cozy dress made of knit fabric, often with geometric patterns."
Sunny,Bright,Geometric,Sophisticated,Tight,Pencil,"A dress with long sleeves, often featuring pastel floral patterns."
Windy,Pastel,Stripes,Sophisticated,Standard,Peplum,"A mid-length dress with a relaxed fit, featuring bohemian-style floral patterns."
Snowy,Neutral,Solid colors,Sophisticated,Standard,Fit and Flare,"A casual dress made of T-shirt material, often in solid earthy tones."
Windy,Earth,Floral,Unique,Loose,Maxi,"A simple, straight dress that hangs loosely from the shoulders."
Sunny,Bright,Geometric,Casual,Loose,Maxi,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Pleasant,Earth,Solid colors,Trendy,Loose,Boho Midi,"A comfortable, long top that can be worn as a dress, often with geometric patterns."
Sunny,Neutral,Floral,Trendy,Standard,Long Sleeve,"A dress worn over a top, often featuring bright stripes and a loose fit."
Pleasant,Bright,Geometric,Sophisticated,Standard,Shirt,"A dress with long sleeves, often featuring pastel floral patterns."
Windy,Earth,Solid colors,Unique,Loose,Tunic,"A snug dress with a high neckline, often featuring geometric designs."
Snowy,Earth,Floral,Sophisticated,Oversized,Knit Sweater,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Windy,Earth,Floral,Sophisticated,Standard,Peplum,"A classic dress with a fitted bodice and flared skirt, often knee-length."
Windy,Neutral,Floral,Casual,Oversized,Knit Sweater,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Pleasant,Neutral,Stripes,Sophisticated,Tight,Turtleneck,"A snug dress with a high neckline, often featuring geometric designs."
Sunny,Neutral,Solid colors,Trendy,Standard,Peplum,"A dress with long sleeves, often featuring pastel floral patterns."
Sunny,Pastel,Floral,Trendy,Oversized,Sweater,"A mid-length dress with a relaxed fit, featuring bohemian-style floral patterns."
Snowy,Neutral,Floral,Sophisticated,Oversized,Knit Sweater,"A long, flowing dress perfect for warm weather, featuring vibrant floral prints."
Windy,Bright,Geometric,Trendy,Standard,Sundress,"A snug dress with a high neckline, often featuring geometric designs."
Windy,Neutral,Stripes,Trendy,Standard,Peplum,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Snowy,Earth,Geometric,Casual,Standard,Peplum,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Windy,Earth,Solid colors,Unique,Tight,Bodycon,"A warm, cozy dress made of knit fabric, often with geometric patterns."
Windy,Bright,Geometric,Casual,Loose,Kaftan,"A snug dress with a high neckline, often featuring geometric designs."
Snowy,Bright,Stripes,Trendy,Standard,A-Line,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Pleasant,Bright,Stripes,Sophisticated,Tight,Pencil,"A close-fitting dress that falls just below the knees, often with stripes."
Sunny,Pastel,Geometric,Trendy,Loose,Maxi,"A dress that is fitted at the top and flares out from the waist, often with geometric patterns."
Sunny,Earth,Stripes,Sophisticated,Standard,Sweater,"A loose, flowy dress often worn as a cover-up, featuring various stripe patterns."
Snowy,Neutral,Floral,Unique,Standard,Shirt,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
Snowy,Earth,Floral,Sophisticated,Standard,Sundress,"A lightweight, sleeveless dress ideal for summer, usually knee-length."
Windy,Earth,Geometric,Trendy,Standard,Wrap,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
Sunny,Earth,Floral,Casual,Oversized,Knit Sweater,"A lightweight, sleeveless dress ideal for summer, usually knee-length."
Snowy,Pastel,Solid colors,Unique,Loose,Tunic,"A relaxed, button-down dress with a loose fit, often with vertical stripes."
Pleasant,Earth,Floral,Trendy,Standard,Shirt,"A casual dress made of T-shirt material, often in solid earthy tones."
Sunny,Neutral,Geometric,Unique,Loose,Shift,"A dress that wraps around the body, creating a V-neckline and tied at the waist."
Sunny,Neutral,Geometric,Unique,Standard,Peplum,"A dress worn over a top, often featuring bright stripes and a loose fit."
Windy,Earth,Stripes,Trendy,Standard,A-Line,"A warm, cozy dress made of knit fabric, often with geometric patterns."
Snowy,Neutral,Solid colors,Casual,Tight,Turtleneck,"A snug dress with a high neckline, often featuring geometric designs."
Snowy,Earth,Solid colors,Trendy,Loose,Tunic,"A dress worn over a top, often featuring bright stripes and a loose fit."
Windy,Earth,Stripes,Unique,Standard,Sundress,"A warm dress made of sweater material, often featuring floral patterns."
Windy,Pastel,Geometric,Sophisticated,Oversized,Knit Sweater,"A dress with a flared ruffle attached at the waist, often featuring floral prints."
